name,color,ep,full,dash_length,dash_full_ratio,power,speed,passe
def_adhesif_remove,#000000,1.5,True,0.0,0.0,50,14.0,1
def_pli_cut,#ff0000,1,False,5.0,0.97,80,4.0,4
def_cut,#ff0000,1,True,0.0,0.0,80,4.0,4
def_text,#0000ff,0.1,True,0.0,0.0,40,10.0,1
def_pli_cut_dup,#336699,1,False,5.0,0.97,80,4.0,4
def_cut_dup,#336699,1,True,0.0,0.0,80,4.0,4
